名稱,價格,顏色,成分,描述,路徑
羊毛混紡大衣,"NT$1,999",深米色,單排扣大衣，羊毛混紡毛氈布料，缺口翻領，正面鈕扣開襟，有嵌線斜側袋。衣袖有內裡。,"聚酯纖維 78%, 羊毛 22%",image/hm/man/1.jpg
標準剪裁連帽上衣,NT$799,黑色/Red Hot Chili Peppers,長袖連帽上衣，柔軟汗衫布料布料，雙層連衣帽有抽繩，正面交疊設計。有袋鼠袋，羅紋袖口和下襬。,"棉 63%, 聚酯纖維 37%",image/hm/man/2.jpg
標準剪裁連帽上衣,NT$799,黑色/Discovery頻道,長袖連帽上衣，柔軟汗衫布料布料，雙層連衣帽有抽繩，正面交疊設計。有袋鼠袋，羅紋袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/3.jpg
休閒剪裁運動衫,NT$999,咖啡色/寶可夢,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 59%, 聚酯纖維 41%",image/hm/man/4.jpg
休閒剪裁運動衫,NT$999,白色/南方四賤客,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/5.jpg
休閒剪裁運動衫,NT$999,黑色/米老鼠,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/6.jpg
休閒剪裁絨布襯衫式外套,"NT$1,299",酒紅色,有領襯衫式外套，柔軟棉質絨布布料，正面鈕扣開襟，休閒剪裁，有翻蓋式胸袋，袖口配鈕扣，平切下襬。無內裡。,棉 100%,image/hm/man/7.jpg
夾克襯衫,"NT$1,299",黑色,有領夾克襯衫，柔軟平織布料，正面鈕扣開襟，背面有肩襠，有鈕扣式翻蓋胸袋，長袖袖口配鈕扣。,"聚酯纖維 74%, 聚丙烯腈纖維 20%, 嫘縈 4%, 聚醯胺纖維 2%",image/hm/man/8.jpg
休閒剪裁圖案連帽上衣,NT$799,亮紅色,長袖連帽上衣，棉質混紡汗衫布料，印有圖案。休閒剪裁，雙層連衣帽有抽繩，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/9.jpg
休閒剪裁運動衫,NT$999,海軍藍/史努比,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/10.jpg
