名稱,價格,顏色,成分,描述,路徑,description
Oversized trenchcoat,"NT$3,499",米色,"Oversized, calf-length, single-breasted trenchcoat in woven fabric with notch lapels, buttons at the front and a storm flap at the back. Shoulder tabs and a tab at the cuffs with a button, a detachable tie-belt at the waist, pockets in the side seams and a single back vent. Lined.",聚酯纖維 100%,image/hm/woman/1.jpg,風格: 大膽超大尺碼風衣 | 合適場合: 正式或休閒場合 | 圖案描述: 以淡雅米色為主，呈現出風衣特有的單排扣、風帽翻領、風門、肩部和袖口的表帶設計，腰部有可拆式的繫帶，側縫有口袋，背部有一個單一的開叉。內部有
精織開襟衫,NT$399,黑色,精織開襟衫，柔軟嫘縈混紡布料，正面鈕扣開襟，羅紋領口、袖口和下襬。,"嫘縈 70%, 聚醯胺纖維 30%",image/hm/woman/2.jpg,"風格: 簡約細緻, 合適的場合: 休閒或職場, 衣服上的圖案描述: 純色牛角扣針織外套，細緻的針織柔軟，前面有按鈕，領口，袖口和下擺有針織邊。"
羅紋針織曲線洋裝,"NT$1,499",黑色,羅紋針織中長版洋裝，合身剪裁，正面開寬領口，後領低開，微喇叭長袖，前襬開單衩。,"聚酯纖維 50%, 聚醯胺纖維 27%, 嫘縈 23%",image/hm/woman/3.jpg,風格: 美麗曲線針織裙; 合適場合: 正式或半正式場合; 衣服圖案描述: 這是一件全黑色的中長裙，針織質地，修身設計，前面有寬領口，背面有低領口，長袖設計並帶有微小的喇叭形，前擺則為單邊設計，沒有任何圖案。
絞花針織裙,NT$999,深灰色,柔軟絞花針織裙，長度及踝，合身剪裁，羅紋覆面鬆緊帶腰圍。,"聚酯纖維 60%, 聚丙烯腈纖維 34%, 羊毛 6%",image/hm/woman/4.jpg,風格：克羅埃西亞風格；合適的場合：休閑聚會；衣服上的圖案描述：整體主要為暗灰色，無顯眼圖案，以針織紋為主，搭配高腰設計，呈現出舒適又自在的感覺。
寬鬆高腰牛仔褲,NT$999,丹寧藍,5袋式水洗棉質丹寧牛仔褲，高腰剪裁，拉鍊門襟配鈕扣，寬直筒褲管。,"棉 99%, 彈性纖維 1%",image/hm/woman/5.jpg,風格: 鬆散高腰牛仔褲，場合: 輕鬆休閒或日常穿著，圖案描述: 這是一款五口袋水洗棉質牛仔褲，配有高腰設計，拉鏈和鈕扣，以及寬直腿。其99%的棉和1%的彈性纖維組成，賦予其柔韌與舒適。
小喇叭高腰牛仔褲,NT$799,黑色,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。小喇叭褲管，腰部至大腿為貼身設計，膝部以下喇叭剪裁。高腰剪裁，拉鍊門襟配鈕扣。標準褲長蓋過腳踝，褲腳不疊皺拖地。四季不敗的時尚單品。,"棉 99%, 彈性纖維 1%",image/hm/woman/6.jpg,風格: 復古優雅，場合: 休閒或半正式場合，圖案描述: 全黑色，無任何圖案或印花。
加大碼泰迪熊布料內裡外套,"NT$1,999",深咖啡色,加大碼外套，衣領、袖口、下襬和內裡皆為柔軟泰迪熊布料。大衣領有可調式扣帶，寬翻領。正面斜拉鍊開襟，長袖款式，有嵌線斜前袋。,聚酯纖維 100%,image/hm/woman/7.jpg,風格: 深棕色大尺碼泰迪熊布料外套; 合適的場合: 全天候休閒派對或日常穿著; 衣服上的圖案描述: 柔和的泰迪熊布料點綴在衣領、袖口、衣腳和內裡，領口配有可調節的扣帶和寬腳領。前側斜拉鍊設計，長袖，
Oversized double-breasted blazer,"NT$1,799",黑色,"Oversized, double-breasted twill blazer with peak lapels and buttons at the front. Buttoned cuffs and jetted front pockets. Lined.",聚酯纖維 100%,image/hm/woman/8.jpg,"風格:寬鬆黑色雙排扣西裝外套; 合適場合:正式活動或辦公室環境; 衣服圖案描述:無特別圖案,主要細節為峰狀翻領和前面的鈕扣,搭配有鈕扣的袖口和口袋,內裡為聚酯纖維材質。"
加大碼拉鍊洋裝,"NT$1,499",奶油色,柔軟羅紋針織短洋裝，加大碼剪裁，立領，上部有拉鍊，長袖款式。,"聚酯纖維 77%, 聚丙烯腈纖維 20%, 彈性纖維 3%",image/hm/woman/9.jpg,"風格: 大碼休閒風格, 合適的場合: 日常休閒, 圖案描述: 無圖案, 單色乳白色, 局部配有拉鍊, 立領及長袖設計。"
加大碼T恤,NT$349,白色,加大碼T恤，柔軟棉質平紋布料，羅紋領口，低垂肩設計。,棉 100%,image/hm/woman/10.jpg,風格: 大碼白色T恤， 圖案: 素色無圖案， 合適場合: 休閒日常穿著。
Single-breasted blazer,"NT$1,799",黑色,"Loose-fit, single-breasted blazer with notch lapels, buttons at the front, welt front pockets and a single back vent. Lined.",聚氨酯 100%,image/hm/woman/11.jpg,"風格: 隨性時尚; 場合: 日常休閒或商務模式; 圖案描述: 整體黑色,單排扣設計，配備翻領，前方有按鈕，配有口袋和單一後縫,內裏。"
絨布傘兵褲,NT$999,淺灰色,柔軟棉質絨布長褲，中腰寬鬆剪裁，覆面鬆緊帶腰圍配抽繩，有斜側袋和一個翻蓋式後袋。直筒褲管，膝部兩側有抓褶，可增加寬鬆度。褲腳有抽繩。,棉 100%,image/hm/woman/12.jpg,風格: 休閒時尚; 合適的場合: 日常穿著; 衣服上的圖案描述: 無圖案，僅設有側邊褶皺和腰部抽繩設計。
羅紋莫代爾混紡T恤,NT$299,白色,羅紋平紋T恤，柔軟棉質莫代爾纖維布料，合身剪裁，領口有窄飾邊，平切下襬。,"棉 48%, 莫代爾纖維 47%, 彈性纖維 5%",image/hm/woman/13.jpg,"風格: 簡約休閒; 合適場合: 日常休閒; 衣服上的圖案描述: 無圖案,以平實的白色及條紋紋路為主。"
錐形長褲,NT$999,深綠色,修身長褲，平織布料，高腰寬鬆剪裁，拉鍊門襟配隱形鈕扣和鉤扣，背面有覆面鬆緊帶。有斜側袋和嵌線後袋。收窄褲管上部有抓褶，前後有褶線。,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%",image/hm/woman/14.jpg,風格: 高腰精緻休閒；場合:日常或半正式場合；圖案:深綠色，無圖案，金字塔型狀褲型，前後均有褶線設計。
套衫,NT$999,None,None,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%",image/hm/woman/15.jpg,風格：舒適休閒，合適的場合：日常休閒活動，衣服上的圖案描述：這是一件無圖案的單色jumper，由77%的聚酯纖維、18%的粘膠和5%的彈性纖維組成，質地柔軟舒適，簡單卻又不失時尚感。
針織裙,NT$999,None,None,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%",image/hm/woman/16.jpg,風格: 簡約優雅；場合: 周末休閒；圖案描述: 無圖案打印，呈現單色針織風格。
