名稱,價格,顏色,成分,描述,路徑
Oversized trenchcoat,"NT$3,499",米色,"Oversized, calf-length, single-breasted trenchcoat in woven fabric with notch lapels, buttons at the front and a storm flap at the back. Shoulder tabs and a tab at the cuffs with a button, a detachable tie-belt at the waist, pockets in the side seams and a single back vent. Lined.",聚酯纖維 100%,image/hm/woman/1.jpg
精織開襟衫,NT$399,黑色,精織開襟衫，柔軟嫘縈混紡布料，正面鈕扣開襟，羅紋領口、袖口和下襬。,"嫘縈 70%, 聚醯胺纖維 30%",image/hm/woman/2.jpg
羅紋針織曲線洋裝,"NT$1,499",黑色,羅紋針織中長版洋裝，合身剪裁，正面開寬領口，後領低開，微喇叭長袖，前襬開單衩。,"聚酯纖維 50%, 聚醯胺纖維 27%, 嫘縈 23%",image/hm/woman/3.jpg
絞花針織裙,NT$999,深灰色,柔軟絞花針織裙，長度及踝，合身剪裁，羅紋覆面鬆緊帶腰圍。,"聚酯纖維 60%, 聚丙烯腈纖維 34%, 羊毛 6%",image/hm/woman/4.jpg
寬鬆高腰牛仔褲,NT$999,丹寧藍,5袋式水洗棉質丹寧牛仔褲，高腰剪裁，拉鍊門襟配鈕扣，寬直筒褲管。,"棉 99%, 彈性纖維 1%",image/hm/woman/5.jpg
小喇叭高腰牛仔褲,NT$799,黑色,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。小喇叭褲管，腰部至大腿為貼身設計，膝部以下喇叭剪裁。高腰剪裁，拉鍊門襟配鈕扣。標準褲長蓋過腳踝，褲腳不疊皺拖地。四季不敗的時尚單品。,"棉 99%, 彈性纖維 1%",image/hm/woman/6.jpg
加大碼泰迪熊布料內裡外套,"NT$1,999",深咖啡色,加大碼外套，衣領、袖口、下襬和內裡皆為柔軟泰迪熊布料。大衣領有可調式扣帶，寬翻領。正面斜拉鍊開襟，長袖款式，有嵌線斜前袋。,聚酯纖維 100%,image/hm/woman/7.jpg
Oversized double-breasted blazer,"NT$1,799",黑色,"Oversized, double-breasted twill blazer with peak lapels and buttons at the front. Buttoned cuffs and jetted front pockets. Lined.",聚酯纖維 100%,image/hm/woman/8.jpg
加大碼拉鍊洋裝,"NT$1,499",奶油色,柔軟羅紋針織短洋裝，加大碼剪裁，立領，上部有拉鍊，長袖款式。,"聚酯纖維 77%, 聚丙烯腈纖維 20%, 彈性纖維 3%",image/hm/woman/9.jpg
加大碼T恤,NT$349,白色,加大碼T恤，柔軟棉質平紋布料，羅紋領口，低垂肩設計。,棉 100%,image/hm/woman/10.jpg
Single-breasted blazer,"NT$1,799",黑色,"Loose-fit, single-breasted blazer with notch lapels, buttons at the front, welt front pockets and a single back vent. Lined.",聚氨酯 100%,image/hm/woman/11.jpg
絨布傘兵褲,NT$999,淺灰色,柔軟棉質絨布長褲，中腰寬鬆剪裁，覆面鬆緊帶腰圍配抽繩，有斜側袋和一個翻蓋式後袋。直筒褲管，膝部兩側有抓褶，可增加寬鬆度。褲腳有抽繩。,棉 100%,image/hm/woman/12.jpg
羅紋莫代爾混紡T恤,NT$299,白色,羅紋平紋T恤，柔軟棉質莫代爾纖維布料，合身剪裁，領口有窄飾邊，平切下襬。,"棉 48%, 莫代爾纖維 47%, 彈性纖維 5%",image/hm/woman/13.jpg
錐形長褲,NT$999,深綠色,修身長褲，平織布料，高腰寬鬆剪裁，拉鍊門襟配隱形鈕扣和鉤扣，背面有覆面鬆緊帶。有斜側袋和嵌線後袋。收窄褲管上部有抓褶，前後有褶線。,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%",image/hm/woman/14.jpg
套衫,NT$999,None,None,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%",image/hm/woman/15.jpg
針織裙,NT$999,None,None,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%",image/hm/woman/16.jpg
MAMA 2件入平紋內搭褲,NT$699,黑色,內搭褲，柔軟平紋布料，腰部拼接寬布段，讓腹部穿著更服貼。,"棉 50%, 嫘縈 45%, 彈性纖維 5%",image/hm/woman/17.jpg
珠飾上衣,NT$799,黑色,柔軟羅紋針織上衣，合身剪裁，長袖款式，桃心領，前胸鎖眼開口飾塑膠珍珠。,"嫘縈 70%, 聚醯胺纖維 30%",image/hm/woman/18.jpg
羅紋圓高領上衣,NT$399,黑色,長袖圓高領上衣，棉質羅紋平紋布料。,"棉 95%, 彈性纖維 5%",image/hm/woman/19.jpg
MAMA 2件入產前/產後哺乳上衣,NT$999,黑色/奶油色,短袖哺乳上衣，柔軟棉質平紋布料，獨特哺乳設計。雙層設計方便哺乳，同時有助於保暖。孕期和產後哺乳皆適用。,"棉 95%, 彈性纖維 5%",image/hm/woman/20.jpg
羅紋針織曲線洋裝,NT$799,混黑色,中長版洋裝，柔軟羅紋針織布料，合身剪裁，低圓領，胸前有全成型設計。加長拼接袖，袖口開單衩。,"聚酯纖維 55%, 嫘縈 23%, 聚醯胺纖維 22%",image/hm/woman/21.jpg
斜紋寬管褲,NT$699,黑色,棉質斜紋長褲，高腰剪裁，拉鍊門襟配鈕扣，有前袋和後袋，寬直筒褲管。,"棉 98%, 彈性纖維 2%",image/hm/woman/22.jpg
蕾絲超托高胸罩,NT$799,黑色,蕾絲超托高胸罩，可調式肩帶，厚墊鋼圈罩杯，可打造極致豐盈胸形及迷人深溝。背扣有鉤扣。,"聚醯胺纖維 88%, 彈性纖維 12%",image/hm/woman/23.jpg
褶線長褲,NT$999,米色,平織布料長褲，中腰剪裁，拉鍊門襟配隱形鉤扣，有斜側袋和假嵌線後袋，貼身褲管正面有內縫褶線。,"聚酯纖維 76%, 嫘縈 18%, 彈性纖維 6%",image/hm/woman/24.jpg
綢緞襯衫,NT$799,白色,綢緞襯衫，帶柔軟垂墜感，正面鈕扣開襟，微垂肩長袖，袖口有單衩和鈕扣。圓邊下襬。,聚酯纖維 100%,image/hm/woman/25.jpg
