名稱,價格,顏色,成分,描述,路徑,description
羊毛混紡大衣,"NT$1,999",深米色,單排扣大衣，羊毛混紡毛氈布料，缺口翻領，正面鈕扣開襟，有嵌線斜側袋。衣袖有內裡。,"聚酯纖維 78%, 羊毛 22%",image/hm/man/1.jpg,風格: 優雅且經典合適的場合: 商務聚會或正式場所衣服上的圖案描述: 深米色，單排扣大衣，羊毛混紡，帶有翻領，前面有按鈕和鑲嵌的斜身口袋。袖子有內襯。
標準剪裁連帽上衣,NT$799,黑色/Red Hot Chili Peppers,長袖連帽上衣，柔軟汗衫布料布料，雙層連衣帽有抽繩，正面交疊設計。有袋鼠袋，羅紋袖口和下襬。,"棉 63%, 聚酯纖維 37%",image/hm/man/2.jpg,風格: 運動休閒; 场合: 日常休閒活動; 圖案描述: 黑色背景上印有紅色辣椒樂隊的圖樣，帶有雙重帽子和繩索，前部有摺疊設計，配有袋鼠口袋，有收邊手腕和下擺。
標準剪裁連帽上衣,NT$799,黑色/Discovery頻道,長袖連帽上衣，柔軟汗衫布料布料，雙層連衣帽有抽繩，正面交疊設計。有袋鼠袋，羅紋袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/3.jpg,"風格: 運動休閒, 合適的場合: 戶外探索活動, 圖案描述: 呈現黑色並印有發現頻道的標誌。"
休閒剪裁運動衫,NT$999,咖啡色/寶可夢,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 59%, 聚酯纖維 41%",image/hm/man/4.jpg,"風格: 休閒、合身
場合: 日常穿著
圖案: 啡色背景配上精緻的精靈寶可夢圖案布局"
休閒剪裁運動衫,NT$999,白色/南方四賤客,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/5.jpg,風格:休閒剪裁;合適場合:日常穿著;圖案描述:上面印有四位來自南方的女子，以白色為主色調。
休閒剪裁運動衫,NT$999,黑色/米老鼠,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/6.jpg,風格: 休閒裁剪衛衣; 合適場合: 日常穿著; 圖案描述: 黑色底，印有米奇老鼠圖案。
休閒剪裁絨布襯衫式外套,"NT$1,299",酒紅色,有領襯衫式外套，柔軟棉質絨布布料，正面鈕扣開襟，休閒剪裁，有翻蓋式胸袋，袖口配鈕扣，平切下襬。無內裡。,棉 100%,image/hm/man/7.jpg,風格: 休閒風格， 合適的場合: 日常穿搭， 衣服上的圖案描述: 羊駝絨質地，酒紅色，有領子與口袋設計，無內裡。
夾克襯衫,"NT$1,299",黑色,有領夾克襯衫，柔軟平織布料，正面鈕扣開襟，背面有肩襠，有鈕扣式翻蓋胸袋，長袖袖口配鈕扣。,"聚酯纖維 74%, 聚丙烯腈纖維 20%, 嫘縈 4%, 聚醯胺纖維 2%",image/hm/man/8.jpg,風格: 時尚休閒；場合: 商務或日常穿著；圖案描述: 純黑色，增添神秘且專業的感覺，正面設有大腔口袋和鈕扣，背面有肩部細節，全長袖口也有鈕扣。
休閒剪裁圖案連帽上衣,NT$799,亮紅色,長袖連帽上衣，棉質混紡汗衫布料，印有圖案。休閒剪裁，雙層連衣帽有抽繩，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/9.jpg,風格: 休閒風格，合適的場合: 日常穿著，衣服上的圖案描述: 由不規則的圖案構成，帶有雙層帽子，並配有繩索，袋鼠口袋，有絨邊的袖口和下擺。內襯柔軟。
休閒剪裁運動衫,NT$999,海軍藍/史努比,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/10.jpg,風格:休閒度身;場合:日常休閒;圖案描述:深藍色背景上印有史奴比的圖案。
標準剪裁提花針織套衫,"NT$1,799",酒紅色,柔軟提花針織套衫，含羊駝毛，標準剪裁，長拼接袖，羅紋領口、袖口和下襬。,"聚丙烯腈纖維 54%, 聚醯胺纖維 41%, 羊駝毛 5%",image/hm/man/11.jpg,"風格: 經典華麗, 合適場合: 正式聚會, 圖案: 複雜的提花針織圖案，以阿爾帕卡羊毛為主，色調為酒紅色，線條細膩，呈現出高級的視覺感受。"
標準剪裁羊毛混紡套衫,"NT$1,799",混米色,絞花針織套衫，柔軟羊毛混紡布料，標準剪裁，羅紋立領，上部有拉鍊，長袖款式。,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%",image/hm/man/12.jpg,"風格: 經典羊毛混紡風衣, 合適的場合: 休閒活動或辦公, 衣服上的圖案描述: 褐色混紡，針織設計，立領，帶拉鍊，長袖。"
夾克襯衫,"NT$1,299",米色/格紋,有領夾克襯衫，柔軟平織布料，正面鈕扣開襟，背面有肩襠，有鈕扣式翻蓋胸袋，長袖袖口配鈕扣。,"聚酯纖維 73%, 聚丙烯腈纖維 25%, 羊毛 2%",image/hm/man/13.jpg,風格: 切合時尚，颜色: 米色格子，場景: 平日或半正式活动，圖案: 淡色格子，具有領子和前排釦子，以及配有釦子的翻盖胸口口袋和長袖。
標準剪裁牛津襯衫,NT$799,酒紅色,棉質牛津布襯衫，標準剪裁，鈕扣領，經典前襟設計，背面有肩襠，有開口式單胸袋，長袖袖口配鈕扣，袖衩配單顆鈕扣，微圓下襬。,棉 100%,image/hm/man/14.jpg,"風格: 經典牛津衫; 合適的場合: 商務或休閒活動; 衣服上的圖案描述: 特色前面設計,背部肩領,單口袋設計,配以袖口上的紐扣,及略為圓弧的下擺。"
標準剪裁法蘭絨襯衫,NT$999,紅色/黑色格紋,柔軟棉質法蘭絨襯衫，翻領，正面鈕扣開襟，背面有肩襠，標準剪裁，有開口式單胸袋，長袖袖口配鈕扣，袖衩配單顆鈕扣，微圓下襬。,棉 100%,image/hm/man/15.jpg,風格：經典格紋襯衫; 合適場合：日常休閒活動; 圖案描述：紅色和黑色相間的格紋圖案。
傘兵工作褲,"NT$1,499",黑色,傘兵工作褲，平織布料，休閒剪裁，鬆緊帶腰圍配抽繩，假門襟。有斜側袋和一個假嵌線後袋，寬鬆褲管有翻蓋袋，膝部抓褶可增加寬鬆度。褲腳彈性抽繩有繩扣。,聚酯纖維 100%,image/hm/man/16.jpg,風格: 休閒軍裝風； 合適的場合: 日常出行或戶外活動； 衣服上的圖案描述: 黑色布料，有假門撥和斜插口袋，背部鑲嵌虛擬口袋，褲管有翻蓋口袋，膝蓋位置有褶皺，褲腳有彈力抽繩和繩扣，無明顯圖案。
DryMove™寬鬆剪裁連帽上衣,"NT$1,499",黑色,連帽上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，交疊式連衣帽有內裡，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,棉 100%,image/hm/man/17.jpg,風格: 黑色寬鬆運動風格; 合適的場合: 運動或休閒活動; 衣服上的圖案描述: 無圖案的黑色帽衫，配有寬鬆的剪裁和排汗功能，以及連帽、長袖、下垂肩膀、袋鼠式口袋和有彈性的袖口和下擺。
休閒剪裁運動衫,NT$999,深灰色/菲力貓,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/18.jpg,風格:休閒裁剪，合適的場合:休閒場合，衣服上的圖案描述:深灰色/Felix。
寬鬆剪裁拉鍊泰迪熊上衣,NT$799,黑色,柔軟泰迪熊上衣，立領，正面拉鍊開襟，垂肩長袖，有隱形側袋，寬鬆剪裁，袖口和下襬有覆面鬆緊帶。,聚酯纖維 100%,image/hm/man/19.jpg,"風格: 休閒隨性, 合適的場合:日常休閒穿著, 衣服圖案描述:無圖案，設計上主要特點為毛茸茸的質地,站立式領口,前面設有拉鍊,長袖微過肩,隱藏式側邊口袋,寬鬆剪裁以及在袖口和下擺附有重疊的橡皮帶設計。"
合身運動長褲,NT$599,米色,運動長褲，輕薄棉質混紡汗衫布料，柔軟刷毛內裡。覆面鬆緊帶腰圍配抽繩，側縫處有口袋，羅紋褲腳。標準剪裁，打造舒適經典線條。,棉 100%,image/hm/man/20.jpg,"風格: 運動休閒, 合適的場合: 運動或日常休閒, 圖案描述: 麵包色毛圈運動褲,無特殊圖案，具有軟毛刷子內裡，腰部有鬆緊帶，兩側設有口袋，並有修身褲腳設計。"
寬鬆剪裁拉鍊連帽外套,NT$799,米色/Universal Mysteries,汗衫布料連帽外套，寬鬆剪裁，連衣帽有絨毛內裡，正面拉鍊開襟，有斜側袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/21.jpg,"風格: 休閒寬鬆風格，場合: 日常休閒或半正式場所，圖案描述: 以米色為底，並有""Universal Mysteries""（普世之謎）的圖案或文字裝飾。"
休閒剪裁圖案連帽上衣,NT$799,深紫色,長袖連帽上衣，棉質混紡汗衫布料，印有圖案。休閒剪裁，雙層連衣帽有抽繩，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/22.jpg,"風格: 休閒風格; 合適的場合: 休閒時的日常塑造; 衣服上的圖案描述: 深紫色長袖帽衫,由混合棉布製成, 帶有印花圖案。其剪裁不拘一格，有雙層帽子，搭配有繩子，以及袋鼠式的口袋。而衣袖和下擺都有有實用的鬆緊邊"
DryMove™ Sports T-shirt,NT$349,咖啡色/印花,"Sports T-shirt in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a narrow trim around the neckline and a print motif on the front.",聚酯纖維 100%,image/hm/man/23.jpg,"運動風格,適合健身活動,印有精美圖案的垂直吸濕運動T恤。"
寬鬆剪裁拉鍊連帽外套,NT$799,深藍色/Mysteries,汗衫布料連帽外套，寬鬆剪裁，連衣帽有絨毛內裡，正面拉鍊開襟，有斜側袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/24.jpg,風格: 簡約休閒，合適的場合: 日常外出、休閒場合，衣服上的圖案描述: 暗藍色連帽外套，帶有寬鬆版型，絨毛襯裡的帽子，拉鍊前閉合，和對角的側邊口袋，有肋骨袖口和下擺。內裡擁有柔軟的刷毛。
標準剪裁寬高領開襟衫,"NT$1,799",深灰色,柔軟針織開襟衫，標準剪裁，正面鈕扣開襟，有側袋，長袖款式。羅紋寬高領、袋口、袖口、下襬和鈕扣門襟。,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%",image/hm/man/25.jpg,"風格: 高領復古外套; 合適的場合: 秋冬日常穿著; 衣服上的圖案描述: 無圖案,採用深灰色,前面有按鈕，側面有口袋，寬闊的高領、口袋、袖口、下擺和鈕扣飾以粗織織紋。"
DryMove™寬鬆剪裁連帽上衣,"NT$1,499",淺米色,連帽上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，交疊式連衣帽有內裡，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,棉 100%,image/hm/man/26.jpg,"風格: 寬鬆休閒風格, 合適的場合: 戶外運動或日常休閒活動, 衣服上的圖案描述: 無圖案, 全單色且附有口袋設計及帽子。"
直筒中腰牛仔褲,"NT$1,499",丹寧藍,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。直筒褲管，腰部至褲腳為合身剪裁，腿部略為寬鬆舒適。中腰剪裁，拉鍊門襟。不敗丹寧款。,"棉 98%, 彈性纖維 2%",image/hm/man/27.jpg,"風格: 簡潔中腰牛仔褲, 合適的場合: 日常休閒, 衣服上的圖案描述: 無圖案的無敗牛仔款式。"
標準剪裁圖案連帽上衣,NT$799,深藍色,連帽上衣，棉質混紡汗衫布料，標準剪裁，連衣帽有內裡和抽繩，正面印圖案，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 58%, 聚酯纖維 42%",image/hm/man/28.jpg,風格: 古典休閒; 场合: 日常外出; 图案: 印有風格獨特的前印花圖案.
標準剪裁絨布夾克襯衫,"NT$1,499",奶油色,有領夾克襯衫，柔軟棉質絨布布料，正面拉鍊開襟，標準剪裁，有翻蓋式胸袋，長袖袖口配鈕扣，平切下襬。,棉 100%,image/hm/man/29.jpg,"風格:隨性優雅; 合適的場合:休閒聚會; 圖案描述:無特殊圖案,單一奶油色絲絨材質。"
休閒剪裁運動長褲,NT$599,海軍藍,運動長褲，中量棉質混紡汗衫布料，柔軟刷毛內裡。覆面鬆緊帶腰圍配抽繩，側縫處有口袋，羅紋褲腳。非加大碼休閒剪裁，打造隨興風格。,"棉 60%, 聚酯纖維 40%",image/hm/man/30.jpg,風格:休閒優雅; 合適的場合:運動休閒活動; 衣服上的圖案描述:深藍色，中厚度的棉混紡，內襯柔軟的抓絨。腰部下搭膠帶，並有抽繩，側縫口袋，質地有彈性。休閒風格的非大碼衣褲。
THERMOLITE® 標準剪裁平紋上衣,NT$499,鼠尾草綠,長袖上衣，輕薄平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。採用THERMOLITE®技術，布料輕薄但具保暖效果。,"棉 60%, 聚酯纖維 40%",image/hm/man/31.jpg,"風格: 經典舒適，場合: 休閒日常，圖案: 無圖案，全色平整。
"
標準剪裁圖案連帽上衣,NT$799,深灰色/Universal Mysteries,連帽上衣，棉質混紡汗衫布料，標準剪裁，連衣帽有內裡和抽繩，正面印圖案，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 58%, 聚酯纖維 42%",image/hm/man/32.jpg,"風格: 標準剪裁連帽衛衣; 场合: 日常休闲; 图案: 前面印有深灰色的""宇宙奧秘""圖案。"
THERMOLITE® 標準剪裁平紋上衣,NT$499,淺米色,長袖上衣，輕薄平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。採用THERMOLITE®技術，布料輕薄但具保暖效果。,"棉 60%, 聚酯纖維 40%",image/hm/man/33.jpg,"風格:經典舒適, 合適的場合:休閒日常, 衣服上的圖案描述:無圖案，主要特點是淺米色並使用THERMOLITE ®技術，輕盈且保暖。"
